nome,valor,quantidade
Óleo Dianteiro Cofap NGK,228.46,122
Pneu Traseira Continental,609.52,129
Amortecedor Moura 60Ah Bosch,592.18,101
Amortecedor Traseira TRW,289.71,25
Parafuso Traseira Varga,378.39,114
Disco de Freio de Óleo Lubrax,346.21,21
Pneu Moura 60Ah Pirelli,684.3,124
Vela Moura 60Ah Cofap,482.72,21
Disco de Freio de Óleo TRW,360.81,103
Bateria 10W40 Continental,194.13,26
Pneu 10W40 TRW,122.21,26
Amortecedor de Óleo Pirelli,93.83,102
Óleo de Óleo Cofap,235.46,96
Óleo 10W40 Varga,787.44,68
Disco de Freio 175/65 R14 NGK,224.6,83
Amortecedor Dianteiro Cofap Cofap,126.39,137
Pastilha 10W40 Cofap,517.22,45
Disco de Freio Traseira Cofap,732.49,120
Amortecedor Dianteiro Cofap Continental,696.51,150
Óleo NGK Iridium Lubrax,53.51,106
Óleo Traseira TRW,503.0,88
Filtro 10mm NGK,15.05,54
Vela Dianteiro Cofap Varga,299.75,45
Pneu NGK Iridium Cofap,129.18,143
Vela 10W40 NGK,544.37,108
Disco de Freio Dentada Varga,476.97,144
Vela 10mm Continental,87.25,55
Pneu Traseira TRW,406.55,124
Parafuso Dentada Lubrax,498.54,35
Disco de Freio 175/65 R14 Varga,494.99,108
Amortecedor Traseira Moura,633.8,18
Filtro Ventilado TRW,739.16,89
Filtro Traseira Bridgestone,511.22,131
Amortecedor Dentada Cofap,256.08,21
Vela 10mm NGK,239.13,15
Pastilha 10W40 Bridgestone,556.2,10
Disco de Freio Traseira Bosch,518.72,35
Disco de Freio 10W40 Continental,724.41,16
Pastilha 175/65 R14 Bridgestone,551.03,116
Pastilha Dentada Pirelli,554.37,134
Parafuso NGK Iridium Bridgestone,313.3,121
Filtro Dianteiro Cofap Cofap,427.09,48
Bateria de Óleo TRW,303.38,49
Bateria Traseira Continental,772.26,67
Filtro 175/65 R14 Lubrax,699.3,78
Disco de Freio NGK Iridium Continental,370.09,36
Óleo 10W40 Moura,538.03,21
Filtro 175/65 R14 NGK,779.38,77
Filtro 10mm Pirelli,96.52,116
Parafuso Moura 60Ah Continental,62.18,75
Bateria 10W40 Bridgestone,644.74,115
Filtro Traseira Cofap,743.14,73
Bateria 175/65 R14 Pirelli,326.18,99
Pastilha Ventilado Moura,513.81,79
Correia 10mm Moura,713.04,44
Parafuso Dentada NGK,313.24,109
Pastilha Dentada TRW,84.82,70
Pneu NGK Iridium Continental,640.62,99
Amortecedor Dianteiro Cofap Bosch,438.69,118
Amortecedor Ventilado Bridgestone,442.68,90
Amortecedor Moura 60Ah Moura,181.88,147
Pneu 175/65 R14 Lubrax,796.81,80
Correia 175/65 R14 Lubrax,209.4,33
Disco de Freio 175/65 R14 TRW,242.52,138
Óleo 10mm TRW,221.49,37
Disco de Freio de Óleo Moura,178.81,103
Pastilha de Óleo Bosch,102.47,114
Correia NGK Iridium Cofap,646.26,47
Bateria 10mm TRW,516.98,113
Disco de Freio 10W40 Lubrax,291.6,120
Parafuso Dentada TRW,342.45,16
Bateria NGK Iridium Lubrax,771.3,128
Correia 10mm Continental,496.91,52
Óleo Moura 60Ah Varga,729.52,85
Pneu Ventilado Cofap,71.8,99
Pneu Traseira Varga,760.01,117
Pastilha Ventilado Bridgestone,551.39,50
Pastilha Traseira TRW,331.45,147
Pastilha Moura 60Ah Varga,118.65,147
Bateria Dianteiro Cofap Bosch,468.55,11
Filtro Dentada Moura,691.71,127
Vela 175/65 R14 Bridgestone,122.85,88
Filtro Dentada Lubrax,26.87,77
Filtro 10W40 Moura,764.84,15
Parafuso de Óleo Bosch,315.19,74
Parafuso Moura 60Ah Bridgestone,646.93,79
Filtro Traseira Pirelli,762.95,38
Correia NGK Iridium Bosch,41.67,53
Bateria de Óleo Pirelli,47.97,106
Filtro Dianteiro Cofap NGK,713.34,26
Pastilha Dentada Moura,492.9,50
Pneu Dentada Lubrax,780.13,92
Parafuso 175/65 R14 Pirelli,432.82,131
Pneu Ventilado Lubrax,571.41,146
Amortecedor Ventilado Cofap,385.59,131
Bateria de Óleo Varga,721.07,73
Filtro Dianteiro Cofap Bridgestone,167.82,66
Bateria NGK Iridium Bosch,783.76,50
Pastilha 10mm Moura,658.06,73
Filtro de Ar Bosch Platinum,157.92,87
